model,wer
audioflamingo3_pruned_enc0_dec0,0.05451127819548872
audioflamingo3_pruned_enc0_dec1,0.22086466165413535
audioflamingo3_pruned_enc0_dec2,0.631578947368421
audioflamingo3_pruned_enc0_dec3,0.6560150375939849
audioflamingo3_pruned_enc0_dec4,1.3204887218045114
audioflamingo3_pruned_enc0_dec5,2.837406015037594
audioflamingo3_pruned_enc0_dec6,2.9539473684210527
audioflamingo3_pruned_enc0_dec7,3.3947368421052633
audioflamingo3_pruned_enc0_dec8,3.0601503759398496
audioflamingo3_pruned_enc0_dec9,3.316729323308271
audioflamingo3_pruned_enc0_dec10,3.5009398496240602
