model,wer
audioflamingo3_pruned_enc0_dec0,0.05451127819548872
audioflamingo3_pruned_enc0_dec1,0.06203007518796992
audioflamingo3_pruned_enc0_dec2,0.07236842105263158
audioflamingo3_pruned_enc0_dec3,0.07424812030075188
audioflamingo3_pruned_enc0_dec4,0.07706766917293233
audioflamingo3_pruned_enc0_dec5,0.09304511278195489
audioflamingo3_pruned_enc0_dec6,0.15789473684210525
audioflamingo3_pruned_enc0_dec7,0.5845864661654135
audioflamingo3_pruned_enc0_dec8,0.462406015037594
audioflamingo3_pruned_enc0_dec9,0.2650375939849624
audioflamingo3_pruned_enc0_dec10,0.7293233082706767
audioflamingo3_pruned_enc1_dec0,0.04887218045112782
audioflamingo3_pruned_enc2_dec0,0.05639097744360902
audioflamingo3_pruned_enc3_dec0,0.05827067669172932
audioflamingo3_pruned_enc4_dec0,0.07330827067669173
audioflamingo3_pruned_enc5_dec0,0.07988721804511278
audioflamingo3_pruned_enc6_dec0,0.09398496240601503
audioflamingo3_pruned_enc7_dec0,0.09774436090225563
audioflamingo3_pruned_enc8_dec0,0.13157894736842105
audioflamingo3_pruned_enc9_dec0,0.19454887218045114
audioflamingo3_pruned_enc10_dec0,0.3167293233082707
