model,Phonology_accuracy,Phonology_format_error_rate,Semantics_accuracy,Semantics_format_error_rate,Speaker Traits_accuracy,Speaker Traits_format_error_rate,Speaking Style_accuracy,Speaking Style_format_error_rate,overall_accuracy,overall_format_error_rate
audioflamingo3_pruned_enc0_dec1,0.584,0.0,0.752,0.0,0.504,0.0,0.448,0.0,0.572,0.0
audioflamingo3_pruned_enc0_dec2,0.592,0.0,0.736,0.0,0.528,0.0,0.464,0.0,0.58,0.0
audioflamingo3_pruned_enc0_dec3,0.52,0.0,0.688,0.0,0.408,0.0,0.464,0.0,0.52,0.0
audioflamingo3_pruned_enc0_dec4,0.424,0.0,0.536,0.0,0.288,0.0,0.464,0.0,0.428,0.0
audioflamingo3_pruned_enc0_dec5,0.304,0.0,0.44,0.0,0.32,0.0,0.416,0.0,0.37,0.0
audioflamingo3_pruned_enc0_dec6,0.256,0.0,0.28,0.0,0.328,0.0,0.264,0.0,0.282,0.0
audioflamingo3_pruned_enc0_dec7,0.224,0.0,0.232,0.0,0.336,0.0,0.28,0.0,0.268,0.0
audioflamingo3_pruned_enc0_dec8,0.216,0.12,0.224,0.112,0.28,0.104,0.264,0.016,0.246,0.088
audioflamingo3_pruned_enc0_dec9,0.192,0.04,0.192,0.064,0.328,0.016,0.296,0.008,0.252,0.032
audioflamingo3_pruned_enc0_dec10,0.216,0.088,0.216,0.024,0.368,0.0,0.272,0.0,0.268,0.028
audioflamingo3_pruned_enc1_dec0,0.584,0.0,0.768,0.0,0.504,0.0,0.424,0.0,0.57,0.0
audioflamingo3_pruned_enc2_dec0,0.576,0.0,0.784,0.0,0.488,0.0,0.424,0.0,0.568,0.0
audioflamingo3_pruned_enc3_dec0,0.568,0.0,0.776,0.0,0.512,0.0,0.432,0.0,0.572,0.0
audioflamingo3_pruned_enc4_dec0,0.584,0.0,0.768,0.0,0.496,0.0,0.424,0.0,0.568,0.0
audioflamingo3_pruned_enc5_dec0,0.576,0.0,0.76,0.0,0.48,0.0,0.416,0.0,0.558,0.0
audioflamingo3_pruned_enc6_dec0,0.568,0.0,0.744,0.0,0.52,0.0,0.424,0.0,0.564,0.0
audioflamingo3_pruned_enc7_dec0,0.576,0.0,0.744,0.0,0.488,0.0,0.424,0.0,0.558,0.0
audioflamingo3_pruned_enc8_dec0,0.56,0.0,0.736,0.0,0.472,0.0,0.368,0.0,0.534,0.0
audioflamingo3_pruned_enc9_dec0,0.576,0.0,0.72,0.0,0.472,0.0,0.384,0.0,0.538,0.0
audioflamingo3_pruned_enc10_dec0,0.568,0.0,0.672,0.0,0.488,0.0,0.32,0.0,0.512,0.0
