model,openbookqa_accuracy,openbookqa_format_error_rate,overall_accuracy,overall_format_error_rate
audioflamingo3_pruned_enc0_dec0,0.4923,0.3099,0.4923,0.3099
audioflamingo3_pruned_enc1_dec0,0.5033,0.2791,0.5033,0.2791
audioflamingo3_pruned_enc2_dec0,0.5407,0.1604,0.5407,0.1604
audioflamingo3_pruned_enc3_dec0,0.2769,0.6571,0.2769,0.6571
audioflamingo3_pruned_enc4_dec0,0.2505,0.6659,0.2505,0.6659
audioflamingo3_pruned_enc5_dec0,0.4505,0.3319,0.4505,0.3319
audioflamingo3_pruned_enc6_dec0,0.1407,0.8264,0.1407,0.8264
audioflamingo3_pruned_enc7_dec0,0.0527,0.9275,0.0527,0.9275
audioflamingo3_pruned_enc8_dec0,0.044,0.9385,0.044,0.9385
audioflamingo3_pruned_enc9_dec0,0.0418,0.9319,0.0418,0.9319
audioflamingo3_pruned_enc10_dec0,0.0681,0.9011,0.0681,0.9011
audioflamingo3_pruned_enc0_dec1,0.5033,0.244,0.5033,0.244
audioflamingo3_pruned_enc0_dec2,0.2659,0.5297,0.2659,0.5297
audioflamingo3_pruned_enc0_dec3,0.2132,0.5187,0.2132,0.5187
audioflamingo3_pruned_enc0_dec4,0.2484,0.2549,0.2484,0.2549
audioflamingo3_pruned_enc0_dec5,0.2571,0.1297,0.2571,0.1297
audioflamingo3_pruned_enc0_dec6,0.0791,0.6835,0.0791,0.6835
audioflamingo3_pruned_enc0_dec7,0.1473,0.5033,0.1473,0.5033
audioflamingo3_pruned_enc0_dec8,0.0703,0.8022,0.0703,0.8022
audioflamingo3_pruned_enc0_dec9,0.0418,0.8484,0.0418,0.8484
audioflamingo3_pruned_enc0_dec10,0.0462,0.8242,0.0462,0.8242
