model,wer
audioflamingo3_pruned_enc0_dec0,0.05451127819548872
audioflamingo3_pruned_enc0_dec1,0.06203007518796992
audioflamingo3_pruned_enc0_dec2,0.06109022556390977
audioflamingo3_pruned_enc0_dec3,0.07612781954887218
audioflamingo3_pruned_enc0_dec4,0.20676691729323307
audioflamingo3_pruned_enc0_dec5,0.4868421052631579
audioflamingo3_pruned_enc0_dec6,0.3082706766917293
audioflamingo3_pruned_enc0_dec7,0.3007518796992481
audioflamingo3_pruned_enc0_dec8,0.48214285714285715
audioflamingo3_pruned_enc0_dec9,0.3975563909774436
audioflamingo3_pruned_enc0_dec10,0.9295112781954887
audioflamingo3_pruned_enc1_dec0,0.05921052631578947
audioflamingo3_pruned_enc2_dec0,0.06484962406015038
audioflamingo3_pruned_enc3_dec0,0.07518796992481203
audioflamingo3_pruned_enc4_dec0,0.07612781954887218
audioflamingo3_pruned_enc5_dec0,0.07988721804511278
audioflamingo3_pruned_enc6_dec0,0.08270676691729323
audioflamingo3_pruned_enc7_dec0,0.10714285714285714
audioflamingo3_pruned_enc8_dec0,0.1325187969924812
audioflamingo3_pruned_enc9_dec0,0.162593984962406
audioflamingo3_pruned_enc10_dec0,0.20112781954887218
