model,openbookqa_accuracy,openbookqa_format_error_rate,overall_accuracy,overall_format_error_rate
audioflamingo3_pruned_enc0_dec0,0.4923,0.3099,0.4923,0.3099
audioflamingo3_pruned_enc0_dec1,0.5033,0.244,0.5033,0.244
audioflamingo3_pruned_enc0_dec2,0.5692,0.0857,0.5692,0.0857
audioflamingo3_pruned_enc0_dec3,0.4044,0.0923,0.4044,0.0923
audioflamingo3_pruned_enc0_dec4,0.3231,0.0352,0.3231,0.0352
audioflamingo3_pruned_enc0_dec5,0.1187,0.5912,0.1187,0.5912
audioflamingo3_pruned_enc0_dec6,0.1648,0.4901,0.1648,0.4901
audioflamingo3_pruned_enc0_dec7,0.2066,0.1275,0.2066,0.1275
audioflamingo3_pruned_enc0_dec8,0.211,0.0703,0.211,0.0703
audioflamingo3_pruned_enc0_dec9,0.2242,0.1187,0.2242,0.1187
audioflamingo3_pruned_enc0_dec10,0.1429,0.4571,0.1429,0.4571
audioflamingo3_pruned_enc1_dec0,0.4791,0.1451,0.4791,0.1451
audioflamingo3_pruned_enc2_dec0,0.5077,0.0879,0.5077,0.0879
audioflamingo3_pruned_enc3_dec0,0.5231,0.0615,0.5231,0.0615
audioflamingo3_pruned_enc4_dec0,0.4418,0.3648,0.4418,0.3648
audioflamingo3_pruned_enc5_dec0,0.4505,0.3319,0.4505,0.3319
audioflamingo3_pruned_enc6_dec0,0.5231,0.1143,0.5231,0.1143
audioflamingo3_pruned_enc7_dec0,0.5582,0.2242,0.5582,0.2242
audioflamingo3_pruned_enc8_dec0,0.578,0.0396,0.578,0.0396
audioflamingo3_pruned_enc9_dec0,0.5341,0.0835,0.5341,0.0835
audioflamingo3_pruned_enc10_dec0,0.3604,0.4945,0.3604,0.4945
