model,Phonology_accuracy,Phonology_format_error_rate,Semantics_accuracy,Semantics_format_error_rate,Speaker Traits_accuracy,Speaker Traits_format_error_rate,Speaking Style_accuracy,Speaking Style_format_error_rate,overall_accuracy,overall_format_error_rate
qwen2audio_pruned_enc0_dec0,0.576,0.0,0.704,0.0,0.432,0.0,0.384,0.0,0.524,0.0
qwen2audio_pruned_enc0_dec1,0.544,0.0,0.688,0.008,0.432,0.0,0.368,0.0,0.508,0.002
qwen2audio_pruned_enc0_dec2,0.56,0.008,0.664,0.016,0.416,0.0,0.368,0.0,0.502,0.006
qwen2audio_pruned_enc0_dec3,0.536,0.056,0.664,0.048,0.36,0.096,0.312,0.08,0.468,0.07
qwen2audio_pruned_enc0_dec4,0.48,0.104,0.592,0.056,0.312,0.08,0.296,0.064,0.42,0.076
qwen2audio_pruned_enc0_dec5,0.456,0.144,0.552,0.088,0.304,0.176,0.376,0.064,0.422,0.118
qwen2audio_pruned_enc0_dec6,0.464,0.128,0.504,0.136,0.304,0.184,0.28,0.104,0.388,0.138
qwen2audio_pruned_enc0_dec7,0.488,0.128,0.544,0.104,0.256,0.216,0.328,0.056,0.404,0.126
qwen2audio_pruned_enc0_dec8,0.4,0.336,0.36,0.408,0.152,0.536,0.304,0.12,0.304,0.35
qwen2audio_pruned_enc0_dec9,0.2,0.672,0.232,0.648,0.096,0.784,0.12,0.76,0.162,0.716
qwen2audio_pruned_enc0_dec10,0.208,0.672,0.2,0.744,0.048,0.888,0.12,0.704,0.144,0.752
