model,openbookqa_accuracy,openbookqa_format_error_rate,overall_accuracy,overall_format_error_rate
qwen2audio_pruned_enc0_dec0,0.4747,0.0,0.4747,0.0
qwen2audio_pruned_enc0_dec1,0.4901,0.0198,0.4901,0.0198
qwen2audio_pruned_enc0_dec2,0.4857,0.0286,0.4857,0.0286
qwen2audio_pruned_enc0_dec3,0.4549,0.0725,0.4549,0.0725
qwen2audio_pruned_enc0_dec4,0.4242,0.1275,0.4242,0.1275
qwen2audio_pruned_enc0_dec5,0.3516,0.2286,0.3516,0.2286
qwen2audio_pruned_enc0_dec6,0.3033,0.2659,0.3033,0.2659
qwen2audio_pruned_enc0_dec7,0.1626,0.5582,0.1626,0.5582
qwen2audio_pruned_enc0_dec8,0.0615,0.833,0.0615,0.833
qwen2audio_pruned_enc0_dec9,0.0527,0.8,0.0527,0.8
qwen2audio_pruned_enc0_dec10,0.0462,0.8352,0.0462,0.8352
