model,wer
qwen2audio_pruned_enc0_dec0,0.08270676691729323
qwen2audio_pruned_enc0_dec1,0.08270676691729323
qwen2audio_pruned_enc0_dec2,0.08646616541353383
qwen2audio_pruned_enc0_dec3,0.09116541353383459
qwen2audio_pruned_enc0_dec4,0.5526315789473685
qwen2audio_pruned_enc0_dec5,0.8195488721804511
qwen2audio_pruned_enc0_dec6,0.8195488721804511
qwen2audio_pruned_enc0_dec7,0.8731203007518797
qwen2audio_pruned_enc0_dec8,0.9971804511278195
qwen2audio_pruned_enc0_dec9,0.931390977443609
qwen2audio_pruned_enc0_dec10,1.1710526315789473
qwen2audio_pruned_enc1_dec0,0.08458646616541353
qwen2audio_pruned_enc2_dec0,0.07706766917293233
qwen2audio_pruned_enc3_dec0,0.09022556390977443
qwen2audio_pruned_enc4_dec0,0.11090225563909774
qwen2audio_pruned_enc5_dec0,0.11654135338345864
qwen2audio_pruned_enc6_dec0,0.13721804511278196
qwen2audio_pruned_enc7_dec0,0.17199248120300753
qwen2audio_pruned_enc8_dec0,0.22274436090225563
qwen2audio_pruned_enc9_dec0,0.34962406015037595
qwen2audio_pruned_enc10_dec0,0.3975563909774436
