model,Phonology_accuracy,Phonology_format_error_rate,Semantics_accuracy,Semantics_format_error_rate,Speaker Traits_accuracy,Speaker Traits_format_error_rate,Speaking Style_accuracy,Speaking Style_format_error_rate,overall_accuracy,overall_format_error_rate
qwen2audio_pruned_enc0_dec0,0.576,0.0,0.704,0.0,0.432,0.0,0.384,0.0,0.524,0.0
qwen2audio_pruned_enc0_dec1,0.56,0.008,0.68,0.008,0.416,0.0,0.384,0.0,0.51,0.004
qwen2audio_pruned_enc0_dec2,0.52,0.0,0.656,0.0,0.376,0.0,0.4,0.0,0.488,0.0
qwen2audio_pruned_enc0_dec3,0.52,0.0,0.64,0.0,0.36,0.0,0.312,0.016,0.458,0.004
qwen2audio_pruned_enc0_dec4,0.128,0.44,0.104,0.44,0.144,0.624,0.184,0.472,0.14,0.494
qwen2audio_pruned_enc0_dec5,0.152,0.344,0.136,0.424,0.128,0.488,0.152,0.4,0.142,0.414
qwen2audio_pruned_enc0_dec6,0.16,0.096,0.144,0.232,0.256,0.096,0.208,0.192,0.192,0.154
qwen2audio_pruned_enc0_dec7,0.16,0.136,0.184,0.224,0.256,0.088,0.224,0.128,0.206,0.144
qwen2audio_pruned_enc0_dec8,0.176,0.112,0.2,0.176,0.28,0.08,0.224,0.096,0.22,0.116
qwen2audio_pruned_enc0_dec9,0.176,0.136,0.176,0.232,0.296,0.104,0.296,0.088,0.236,0.14
qwen2audio_pruned_enc0_dec10,0.144,0.208,0.168,0.344,0.2,0.128,0.208,0.168,0.18,0.212
qwen2audio_pruned_enc1_dec0,0.576,0.0,0.696,0.0,0.424,0.0,0.352,0.0,0.512,0.0
qwen2audio_pruned_enc2_dec0,0.568,0.0,0.688,0.0,0.448,0.0,0.344,0.0,0.512,0.0
qwen2audio_pruned_enc3_dec0,0.568,0.0,0.688,0.0,0.464,0.0,0.36,0.0,0.52,0.0
qwen2audio_pruned_enc4_dec0,0.576,0.0,0.688,0.0,0.424,0.0,0.352,0.0,0.51,0.0
qwen2audio_pruned_enc5_dec0,0.576,0.0,0.688,0.0,0.44,0.0,0.32,0.0,0.506,0.0
qwen2audio_pruned_enc6_dec0,0.568,0.0,0.696,0.0,0.432,0.0,0.312,0.0,0.502,0.0
qwen2audio_pruned_enc7_dec0,0.576,0.0,0.672,0.0,0.408,0.0,0.296,0.0,0.488,0.0
qwen2audio_pruned_enc8_dec0,0.584,0.0,0.672,0.0,0.432,0.0,0.296,0.0,0.496,0.0
qwen2audio_pruned_enc9_dec0,0.592,0.0,0.64,0.0,0.4,0.0,0.296,0.0,0.482,0.0
qwen2audio_pruned_enc10_dec0,0.568,0.0,0.632,0.0,0.408,0.0,0.296,0.0,0.476,0.0
