model,openbookqa_accuracy,openbookqa_format_error_rate,overall_accuracy,overall_format_error_rate
qwen2audio_pruned_enc0_dec0,0.4747,0.0,0.4747,0.0
qwen2audio_pruned_enc0_dec1,0.5011,0.0132,0.5011,0.0132
qwen2audio_pruned_enc0_dec2,0.4593,0.022,0.4593,0.022
qwen2audio_pruned_enc0_dec3,0.433,0.0286,0.433,0.0286
qwen2audio_pruned_enc0_dec4,0.0176,0.9385,0.0176,0.9385
qwen2audio_pruned_enc0_dec5,0.0,0.9978,0.0,0.9978
qwen2audio_pruned_enc0_dec6,0.0352,0.8418,0.0352,0.8418
qwen2audio_pruned_enc0_dec7,0.0527,0.7429,0.0527,0.7429
qwen2audio_pruned_enc0_dec8,0.0967,0.6154,0.0967,0.6154
qwen2audio_pruned_enc0_dec9,0.1033,0.6044,0.1033,0.6044
qwen2audio_pruned_enc0_dec10,0.0901,0.6308,0.0901,0.6308
qwen2audio_pruned_enc1_dec0,0.4769,0.0044,0.4769,0.0044
qwen2audio_pruned_enc2_dec0,0.4857,0.0088,0.4857,0.0088
qwen2audio_pruned_enc3_dec0,0.4681,0.0088,0.4681,0.0088
qwen2audio_pruned_enc4_dec0,0.4484,0.0088,0.4484,0.0088
qwen2audio_pruned_enc5_dec0,0.4571,0.0132,0.4571,0.0132
qwen2audio_pruned_enc6_dec0,0.4879,0.0154,0.4879,0.0154
qwen2audio_pruned_enc7_dec0,0.4769,0.0044,0.4769,0.0044
qwen2audio_pruned_enc8_dec0,0.4637,0.0198,0.4637,0.0198
qwen2audio_pruned_enc9_dec0,0.4374,0.0198,0.4374,0.0198
qwen2audio_pruned_enc10_dec0,0.4022,0.0176,0.4022,0.0176
