model,wer
qwen2audio_pruned_enc0_dec0,0.08270676691729323
qwen2audio_pruned_enc0_dec1,0.08646616541353383
qwen2audio_pruned_enc0_dec2,0.106203007518797
qwen2audio_pruned_enc0_dec3,0.11842105263157894
qwen2audio_pruned_enc0_dec4,0.18609022556390978
qwen2audio_pruned_enc0_dec5,0.23590225563909775
qwen2audio_pruned_enc0_dec6,0.3674812030075188
qwen2audio_pruned_enc0_dec7,0.5582706766917294
qwen2audio_pruned_enc0_dec8,0.8110902255639098
qwen2audio_pruned_enc0_dec9,1.0328947368421053
qwen2audio_pruned_enc0_dec10,1.0921052631578947
qwen2audio_pruned_enc1_dec0,0.08458646616541353
qwen2audio_pruned_enc2_dec0,0.08646616541353383
qwen2audio_pruned_enc3_dec0,0.08928571428571429
qwen2audio_pruned_enc4_dec0,0.09210526315789473
qwen2audio_pruned_enc5_dec0,0.11090225563909774
qwen2audio_pruned_enc6_dec0,0.11278195488721804
qwen2audio_pruned_enc7_dec0,0.1193609022556391
qwen2audio_pruned_enc8_dec0,0.15225563909774437
qwen2audio_pruned_enc9_dec0,0.17857142857142858
qwen2audio_pruned_enc10_dec0,0.25
