model,openbookqa_accuracy,openbookqa_format_error_rate,overall_accuracy,overall_format_error_rate
qwen2audio_pruned_enc0_dec0,0.4747,0.0,0.4747,0.0
qwen2audio_pruned_enc0_dec1,0.4945,0.0,0.4945,0.0
qwen2audio_pruned_enc0_dec2,0.4615,0.0132,0.4615,0.0132
qwen2audio_pruned_enc0_dec3,0.4703,0.0088,0.4703,0.0088
qwen2audio_pruned_enc0_dec4,0.3824,0.0352,0.3824,0.0352
qwen2audio_pruned_enc0_dec5,0.3538,0.0505,0.3538,0.0505
qwen2audio_pruned_enc0_dec6,0.2923,0.222,0.2923,0.222
qwen2audio_pruned_enc0_dec7,0.2659,0.2967,0.2659,0.2967
qwen2audio_pruned_enc0_dec8,0.3429,0.1758,0.3429,0.1758
qwen2audio_pruned_enc0_dec9,0.0527,0.8,0.0527,0.8
qwen2audio_pruned_enc0_dec10,0.0462,0.8352,0.0462,0.8352
qwen2audio_pruned_enc1_dec0,0.4879,0.0154,0.4879,0.0154
qwen2audio_pruned_enc2_dec0,0.4813,0.0088,0.4813,0.0088
qwen2audio_pruned_enc3_dec0,0.4769,0.0,0.4769,0.0
qwen2audio_pruned_enc4_dec0,0.4813,0.0066,0.4813,0.0066
qwen2audio_pruned_enc5_dec0,0.4945,0.0066,0.4945,0.0066
qwen2audio_pruned_enc6_dec0,0.4681,0.0022,0.4681,0.0022
qwen2audio_pruned_enc7_dec0,0.4637,0.0132,0.4637,0.0132
qwen2audio_pruned_enc8_dec0,0.4813,0.0088,0.4813,0.0088
qwen2audio_pruned_enc9_dec0,0.4901,0.0044,0.4901,0.0044
qwen2audio_pruned_enc10_dec0,0.4593,0.0044,0.4593,0.0044
