model,Phonology_accuracy,Phonology_format_error_rate,Semantics_accuracy,Semantics_format_error_rate,Speaker Traits_accuracy,Speaker Traits_format_error_rate,Speaking Style_accuracy,Speaking Style_format_error_rate,overall_accuracy,overall_format_error_rate
voxtral_pruned_enc0_dec0,0.608,0.0,0.728,0.0,0.448,0.0,0.328,0.0,0.528,0.0
voxtral_pruned_enc0_dec1,0.584,0.0,0.704,0.0,0.456,0.0,0.312,0.0,0.514,0.0
voxtral_pruned_enc0_dec2,0.432,0.112,0.48,0.208,0.416,0.072,0.248,0.264,0.394,0.164
voxtral_pruned_enc0_dec3,0.024,0.968,0.008,0.992,0.008,0.992,0.0,1.0,0.01,0.988
voxtral_pruned_enc0_dec4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
voxtral_pruned_enc0_dec5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
voxtral_pruned_enc0_dec6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
voxtral_pruned_enc0_dec7,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
voxtral_pruned_enc0_dec8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
voxtral_pruned_enc0_dec9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
voxtral_pruned_enc0_dec10,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
