model,wer
voxtral_pruned_enc0_dec0,0.06860902255639098
voxtral_pruned_enc0_dec1,3.018796992481203
voxtral_pruned_enc0_dec2,2.3580827067669174
voxtral_pruned_enc0_dec3,2.513157894736842
voxtral_pruned_enc0_dec4,1.5469924812030076
voxtral_pruned_enc0_dec5,1.3270676691729324
voxtral_pruned_enc0_dec6,1.6484962406015038
voxtral_pruned_enc0_dec7,1.550751879699248
voxtral_pruned_enc0_dec8,1.4981203007518797
voxtral_pruned_enc0_dec9,1.2857142857142858
voxtral_pruned_enc0_dec10,4.828947368421052
voxtral_pruned_enc1_dec0,0.07330827067669173
voxtral_pruned_enc2_dec0,0.07518796992481203
voxtral_pruned_enc3_dec0,0.08646616541353383
voxtral_pruned_enc4_dec0,0.08646616541353383
voxtral_pruned_enc5_dec0,0.106203007518797
voxtral_pruned_enc6_dec0,0.1193609022556391
voxtral_pruned_enc7_dec0,0.17011278195488722
voxtral_pruned_enc8_dec0,0.18515037593984962
voxtral_pruned_enc9_dec0,0.2349624060150376
voxtral_pruned_enc10_dec0,0.3458646616541353
