model,Phonology_accuracy,Phonology_format_error_rate,Semantics_accuracy,Semantics_format_error_rate,Speaker Traits_accuracy,Speaker Traits_format_error_rate,Speaking Style_accuracy,Speaking Style_format_error_rate,overall_accuracy,overall_format_error_rate
voxtral_pruned_enc0_dec0,0.608,0.0,0.728,0.0,0.448,0.0,0.328,0.0,0.528,0.0
voxtral_pruned_enc0_dec1,0.0,1.0,0.016,0.984,0.0,1.0,0.0,1.0,0.004,0.996
voxtral_pruned_enc0_dec2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
voxtral_pruned_enc0_dec3,0.0,0.984,0.0,0.976,0.0,0.992,0.008,0.944,0.002,0.974
voxtral_pruned_enc0_dec4,0.0,0.984,0.0,0.984,0.0,0.992,0.008,0.936,0.002,0.974
voxtral_pruned_enc0_dec5,0.0,1.0,0.0,1.0,0.0,0.992,0.008,0.984,0.002,0.994
voxtral_pruned_enc0_dec6,0.0,1.0,0.0,1.0,0.008,0.992,0.008,0.992,0.004,0.996
voxtral_pruned_enc0_dec7,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
voxtral_pruned_enc0_dec8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
voxtral_pruned_enc0_dec9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
voxtral_pruned_enc0_dec10,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
voxtral_pruned_enc1_dec0,0.608,0.0,0.728,0.0,0.456,0.0,0.328,0.0,0.53,0.0
voxtral_pruned_enc2_dec0,0.608,0.0,0.728,0.0,0.448,0.0,0.336,0.0,0.53,0.0
voxtral_pruned_enc3_dec0,0.6,0.0,0.736,0.0,0.456,0.0,0.328,0.0,0.53,0.0
voxtral_pruned_enc4_dec0,0.608,0.0,0.744,0.0,0.472,0.0,0.328,0.0,0.538,0.0
voxtral_pruned_enc5_dec0,0.592,0.0,0.72,0.0,0.472,0.0,0.32,0.0,0.526,0.0
voxtral_pruned_enc6_dec0,0.56,0.0,0.72,0.0,0.472,0.0,0.336,0.0,0.522,0.0
voxtral_pruned_enc7_dec0,0.568,0.0,0.696,0.0,0.456,0.0,0.328,0.0,0.512,0.0
voxtral_pruned_enc8_dec0,0.584,0.0,0.696,0.0,0.424,0.0,0.336,0.0,0.51,0.0
voxtral_pruned_enc9_dec0,0.6,0.0,0.68,0.0,0.424,0.0,0.328,0.0,0.508,0.0
voxtral_pruned_enc10_dec0,0.6,0.0,0.648,0.0,0.376,0.0,0.304,0.0,0.482,0.0
