model,openbookqa_accuracy,openbookqa_format_error_rate,overall_accuracy,overall_format_error_rate
voxtral_pruned_enc0_dec0,0.633,0.0176,0.633,0.0176
voxtral_pruned_enc0_dec1,0.1209,0.7648,0.1209,0.7648
voxtral_pruned_enc0_dec2,0.0857,0.822,0.0857,0.822
voxtral_pruned_enc0_dec3,0.0022,0.9868,0.0022,0.9868
voxtral_pruned_enc0_dec4,0.0066,0.989,0.0066,0.989
voxtral_pruned_enc0_dec5,0.0549,0.8308,0.0549,0.8308
voxtral_pruned_enc0_dec6,0.0835,0.6901,0.0835,0.6901
voxtral_pruned_enc0_dec7,0.0637,0.7363,0.0637,0.7363
voxtral_pruned_enc0_dec8,0.0066,0.956,0.0066,0.956
voxtral_pruned_enc0_dec9,0.0022,0.9956,0.0022,0.9956
voxtral_pruned_enc0_dec10,0.1978,0.2198,0.1978,0.2198
voxtral_pruned_enc1_dec0,0.6637,0.011,0.6637,0.011
voxtral_pruned_enc2_dec0,0.6615,0.0088,0.6615,0.0088
voxtral_pruned_enc3_dec0,0.6505,0.011,0.6505,0.011
voxtral_pruned_enc4_dec0,0.6396,0.0132,0.6396,0.0132
voxtral_pruned_enc5_dec0,0.6396,0.0066,0.6396,0.0066
voxtral_pruned_enc6_dec0,0.6462,0.011,0.6462,0.011
voxtral_pruned_enc7_dec0,0.6396,0.0088,0.6396,0.0088
voxtral_pruned_enc8_dec0,0.6462,0.0154,0.6462,0.0154
voxtral_pruned_enc9_dec0,0.6374,0.0088,0.6374,0.0088
voxtral_pruned_enc10_dec0,0.6,0.0132,0.6,0.0132
