model,wer
voxtral_pruned_enc0_dec0,0.06860902255639098
voxtral_pruned_enc0_dec1,0.07612781954887218
voxtral_pruned_enc0_dec2,0.08834586466165413
voxtral_pruned_enc0_dec3,0.10902255639097744
voxtral_pruned_enc0_dec4,0.18139097744360902
voxtral_pruned_enc0_dec5,0.21898496240601503
voxtral_pruned_enc0_dec6,0.5648496240601504
voxtral_pruned_enc0_dec7,3.2913533834586466
voxtral_pruned_enc0_dec8,2.18609022556391
voxtral_pruned_enc0_dec9,1.637218045112782
voxtral_pruned_enc0_dec10,2.007518796992481
voxtral_pruned_enc1_dec0,0.07330827067669173
voxtral_pruned_enc2_dec0,0.07142857142857142
voxtral_pruned_enc3_dec0,0.08176691729323309
voxtral_pruned_enc4_dec0,0.08834586466165413
voxtral_pruned_enc5_dec0,0.10150375939849623
voxtral_pruned_enc6_dec0,0.1118421052631579
voxtral_pruned_enc7_dec0,0.15037593984962405
voxtral_pruned_enc8_dec0,0.18515037593984962
voxtral_pruned_enc9_dec0,0.2274436090225564
voxtral_pruned_enc10_dec0,0.29793233082706766
