model,Phonology_accuracy,Phonology_format_error_rate,Semantics_accuracy,Semantics_format_error_rate,Speaker Traits_accuracy,Speaker Traits_format_error_rate,Speaking Style_accuracy,Speaking Style_format_error_rate,overall_accuracy,overall_format_error_rate
voxtral_pruned_enc0_dec0,0.608,0.0,0.728,0.0,0.448,0.0,0.328,0.0,0.528,0.0
voxtral_pruned_enc0_dec1,0.592,0.0,0.696,0.0,0.432,0.0,0.368,0.0,0.522,0.0
voxtral_pruned_enc0_dec2,0.576,0.0,0.656,0.0,0.448,0.0,0.328,0.0,0.502,0.0
voxtral_pruned_enc0_dec3,0.552,0.0,0.632,0.024,0.448,0.0,0.32,0.0,0.488,0.006
voxtral_pruned_enc0_dec4,0.512,0.0,0.64,0.0,0.328,0.008,0.336,0.0,0.454,0.002
voxtral_pruned_enc0_dec5,0.488,0.0,0.584,0.0,0.384,0.0,0.304,0.0,0.44,0.0
voxtral_pruned_enc0_dec6,0.304,0.08,0.36,0.064,0.248,0.016,0.208,0.2,0.28,0.09
voxtral_pruned_enc0_dec7,0.368,0.424,0.232,0.584,0.272,0.288,0.232,0.224,0.276,0.38
voxtral_pruned_enc0_dec8,0.016,0.96,0.032,0.96,0.0,1.0,0.0,1.0,0.012,0.98
voxtral_pruned_enc0_dec9,0.184,0.64,0.128,0.768,0.136,0.688,0.048,0.824,0.124,0.73
voxtral_pruned_enc0_dec10,0.216,0.584,0.16,0.744,0.104,0.656,0.168,0.504,0.162,0.622
voxtral_pruned_enc1_dec0,0.608,0.0,0.728,0.0,0.456,0.0,0.328,0.0,0.53,0.0
voxtral_pruned_enc2_dec0,0.608,0.0,0.736,0.0,0.456,0.0,0.328,0.0,0.532,0.0
voxtral_pruned_enc3_dec0,0.576,0.0,0.744,0.0,0.456,0.0,0.336,0.0,0.528,0.0
voxtral_pruned_enc4_dec0,0.568,0.0,0.736,0.0,0.44,0.0,0.336,0.0,0.52,0.0
voxtral_pruned_enc5_dec0,0.584,0.0,0.736,0.0,0.48,0.0,0.328,0.0,0.532,0.0
voxtral_pruned_enc6_dec0,0.592,0.0,0.68,0.0,0.464,0.0,0.336,0.0,0.518,0.0
voxtral_pruned_enc7_dec0,0.576,0.0,0.68,0.0,0.44,0.0,0.328,0.0,0.506,0.0
voxtral_pruned_enc8_dec0,0.584,0.0,0.696,0.0,0.424,0.0,0.336,0.0,0.51,0.0
voxtral_pruned_enc9_dec0,0.6,0.0,0.696,0.0,0.416,0.0,0.336,0.0,0.512,0.0
voxtral_pruned_enc10_dec0,0.608,0.0,0.664,0.0,0.4,0.0,0.328,0.0,0.5,0.0
