model,openbookqa_accuracy,openbookqa_format_error_rate,overall_accuracy,overall_format_error_rate
voxtral_pruned_enc0_dec0,0.633,0.0176,0.633,0.0176
voxtral_pruned_enc0_dec1,0.6066,0.0088,0.6066,0.0088
voxtral_pruned_enc0_dec2,0.6132,0.0286,0.6132,0.0286
voxtral_pruned_enc0_dec3,0.4967,0.0352,0.4967,0.0352
voxtral_pruned_enc0_dec4,0.4374,0.0835,0.4374,0.0835
voxtral_pruned_enc0_dec5,0.389,0.2286,0.389,0.2286
voxtral_pruned_enc0_dec6,0.2176,0.3341,0.2176,0.3341
voxtral_pruned_enc0_dec7,0.0549,0.7516,0.0549,0.7516
voxtral_pruned_enc0_dec8,0.0725,0.7275,0.0725,0.7275
voxtral_pruned_enc0_dec9,0.1626,0.5341,0.1626,0.5341
voxtral_pruned_enc0_dec10,0.1341,0.6176,0.1341,0.6176
voxtral_pruned_enc1_dec0,0.6637,0.011,0.6637,0.011
voxtral_pruned_enc2_dec0,0.6308,0.0154,0.6308,0.0154
voxtral_pruned_enc3_dec0,0.6308,0.0198,0.6308,0.0198
voxtral_pruned_enc4_dec0,0.6374,0.022,0.6374,0.022
voxtral_pruned_enc5_dec0,0.6198,0.022,0.6198,0.022
voxtral_pruned_enc6_dec0,0.6352,0.011,0.6352,0.011
voxtral_pruned_enc7_dec0,0.6286,0.0154,0.6286,0.0154
voxtral_pruned_enc8_dec0,0.6462,0.0154,0.6462,0.0154
voxtral_pruned_enc9_dec0,0.644,0.011,0.644,0.011
voxtral_pruned_enc10_dec0,0.6242,0.0154,0.6242,0.0154
